"ExperimentID","SiteID","PondID","StrainID","Date","pH","Temp.avg (C)","Temp.max (C)","Temp.min (C)","Cond (mS.cm)","DO (mg.L)","DO (%sat)","Sal (g.L)","PAR (umol.m2.s)"
"SEP102014","ASU","P4","KA32","09-16-2014",7.93,,,,49555.26,6.78,99.63,32.42,
"SEP102014","ASU","P5","KA32","09-16-2014",7.85,24.31,25.3,23.6,51177.91,5.82,84.36,33.62,
"SEP102014","ASU","P6","KA32","09-16-2014",8.47,25.05,32.3,23.9,48323.4,5.43,78.93,31.65,171.24
"SEP102014","ASU","P1","KA32","09-17-2014",7.91,25.43,28.7,23.4,51163.08,8.5,126.49,33.58,
"SEP102014","ASU","P2","KA32","09-17-2014",7.93,25.46,28.8,23.4,52522.14,9.17,137.26,34.58,
"SEP102014","ASU","P3","KA32","09-17-2014",7.96,25.52,28.8,23.5,51553.24,8.44,125.97,33.86,
"SEP102014","ASU","P4","KA32","09-17-2014",8.04,,,,52170.9,7.18,109.42,34.29,
"SEP102014","ASU","P5","KA32","09-17-2014",7.88,25.4,28.7,23.3,50652.91,6.3,93.53,33.2,
"SEP102014","ASU","P6","KA32","09-17-2014",8.24,25.54,28.8,23.5,50478.26,6.01,89.05,33.08,283.66
"SEP102014","ASU","P1","KA32","09-18-2014",7.79,25.91,30.5,21.9,51270,8.73,131.57,33.64,
"SEP102014","ASU","P2","KA32","09-18-2014",7.92,26.04,30.8,21.9,52763.08,9.31,141.39,34.74,
"SEP102014","ASU","P3","KA32","09-18-2014",7.94,26.01,30.7,22,51496.06,8.63,130.51,33.8,
"SEP102014","ASU","P4","KA32","09-18-2014",7.94,,,,52484.25,7.3,112.86,34.51,
"SEP102014","ASU","P5","KA32","09-18-2014",7.86,25.81,30.5,21.8,50723.62,6.36,95.3,33.24,
"SEP102014","ASU","P6","KA32","09-18-2014",7.88,26.09,30.7,22.1,50767.8,6.19,93.17,33.26,530.46
"SEP102014","ASU","P1","KA32","09-19-2014",7.91,26.66,31.8,23.6,51309.34,8.26,126.26,33.65,
"SEP102014","ASU","P2","KA32","09-19-2014",7.92,27.36,32.1,23.6,52572.18,8.79,136.21,34.56,
"SEP102014","ASU","P3","KA32","09-19-2014",7.94,27.3,31.9,23.7,51035.97,8.13,125.22,33.43,
"SEP102014","ASU","P4","KA32","09-19-2014",7.96,,,,52342.1,6.91,109,34.36,
"SEP102014","ASU","P5","KA32","09-19-2014",7.83,27.05,31.7,23.5,50695.43,5.97,91.41,33.19,
"SEP102014","ASU","P6","KA32","09-19-2014",7.9,27.43,32,23.8,50582.37,5.99,92.32,33.09,510.54
"SEP102014","ASU","P1","KA32","09-20-2014",7.87,25.88,31.6,23.3,50293.69,8.26,123.83,32.93,
"SEP102014","ASU","P2","KA32","09-20-2014",7.92,26.81,32.2,23.3,51429.33,8.7,132.89,33.74,
"SEP102014","ASU","P3","KA32","09-20-2014",7.94,26.75,32.1,23.4,50338.16,7.99,121.65,32.93,
"SEP102014","ASU","P4","KA32","09-20-2014",7.95,,,,51405.64,6.86,106.82,33.69,
"SEP102014","ASU","P5","KA32","09-20-2014",7.81,26.53,32,23.2,50090.37,5.96,90.33,32.76,
"SEP102014","ASU","P6","KA32","09-20-2014",7.91,26.83,32.2,23.5,49424.32,6.01,91.21,32.26,464.7
"SEP102014","ASU","P1","KA32","09-21-2014",7.91,26.21,30.3,21.9,51024.99,8.16,122.86,33.46,
"SEP102014","ASU","P2","KA32","09-21-2014",7.94,26.08,30.5,21.8,52372.65,8.86,134.09,34.45,
"SEP102014","ASU","P3","KA32","09-21-2014",7.94,26.11,30.6,21.9,51474.3,8.16,123.2,33.78,
"SEP102014","ASU","P4","KA32","09-21-2014",7.96,,,,52392.74,7.14,110.26,34.44,
"SEP102014","ASU","P5","KA32","09-21-2014",7.82,25.88,30.4,21.7,51271.09,6.18,92.95,33.64,
"SEP102014","ASU","P6","KA32","09-21-2014",7.9,26.15,30.5,22,50388.48,6.18,92.9,32.99,513.24
"SEP102014","ASU","P1","KA32","09-22-2014",7.92,27.8,32.9,22.6,53203.47,9.32,147.01,35.02,
"SEP102014","ASU","P2","KA32","09-22-2014",7.93,27.01,32.9,22.7,53761.15,8.82,137.69,35.45,
"SEP102014","ASU","P3","KA32","09-22-2014",7.95,27.11,33.1,22.7,53691.81,8.37,131.53,35.39,
"SEP102014","ASU","P4","KA32","09-22-2014",7.97,,,,53677.92,7.28,116.02,35.35,
"SEP102014","ASU","P5","KA32","09-22-2014",7.78,26.95,32.9,22.5,53017.67,6.27,97.7,34.91,
"SEP102014","ASU","P6","KA32","09-22-2014",8.01,27.12,33,22.8,52254.4,6.24,97.07,34.33,535.02
"SEP102014","ASU","P1","KA32","09-23-2014",7.91,25.73,31,21.1,53656.31,9.11,138.94,35.41,
"SEP102014","ASU","P2","KA32","09-23-2014",7.92,25.78,31.2,21.1,54058.92,9.1,138.59,35.7,
"SEP102014","ASU","P3","KA32","09-23-2014",7.95,25.81,31.3,21.2,55114.84,9.02,138.54,36.49,
"SEP102014","ASU","P4","KA32","09-23-2014",7.96,,,,54214.2,7.39,114.77,35.79,
"SEP102014","ASU","P5","KA32","09-23-2014",7.78,25.57,30.9,20.9,53432.63,6.48,98.22,35.24,
"SEP102014","ASU","P6","KA32","09-23-2014",7.97,25.92,31.2,21.3,52797.56,6.41,97.34,34.76,538.86
"SEP102014","ASU","P1","KA32","09-24-2014",7.89,24.04,31.1,19.7,53650.13,10.17,151.26,35.43,
"SEP102014","ASU","P2","KA32","09-24-2014",7.91,26.49,32.7,19.6,48560.43,9.43,142.65,31.66,
"SEP102014","ASU","P3","KA32","09-24-2014",7.96,25.63,31.5,19.8,54948.28,9.05,138.17,36.36,
"SEP102014","ASU","P4","KA32","09-24-2014",7.94,,,,49124.14,7.58,117.13,32.04,
"SEP102014","ASU","P5","KA32","09-24-2014",7.81,25.33,31.1,19.6,53185.27,6.63,99.56,35.06,
"SEP102014","ASU","P6","KA32","09-24-2014",8.34,26.59,32.6,19.9,48549.45,6.48,98.01,31.63,530.45
"SEP102014","ASU","P1","KA32","09-25-2014",7.87,27.24,31.7,22,53722.97,9.79,152.12,35.42,
"SEP102014","ASU","P2","KA32","09-25-2014",7.88,26.79,31.9,22.1,46940.28,9.47,141.73,30.46,
"SEP102014","ASU","P3","KA32","09-25-2014",7.95,26.8,31.8,22.2,54641.07,8.76,136.17,36.11,
"SEP102014","ASU","P4","KA32","09-25-2014",7.95,,,,47835.66,7.56,115.9,31.08,
"SEP102014","ASU","P5","KA32","09-25-2014",7.79,26.55,31.6,21.9,53215.84,6.37,97.82,35.06,
"SEP102014","ASU","P6","KA32","09-25-2014",7.95,26.93,31.9,22.3,46993.81,6.79,102.06,30.5,524.07
"SEP102014","ASU","P1","KA32","09-26-2014",7.9,25.7,31.6,22.7,53695.21,8.47,129.31,35.44,
"SEP102014","ASU","P2","KA32","09-26-2014",7.87,26.44,32.5,22.7,52257.56,9.06,139.57,34.35,
"SEP102014","ASU","P3","KA32","09-26-2014",7.95,25.84,31.8,22.9,55234.01,8.48,130.6,36.59,
"SEP102014","ASU","P4","KA32","09-26-2014",7.94,,,,52743.07,7.23,113.83,34.68,
"SEP102014","ASU","P5","KA32","09-26-2014",7.78,25.66,31.6,22.6,53556.17,6.28,95.47,35.33,
"SEP102014","ASU","P6","KA32","09-26-2014",8.63,26.54,32.7,22.9,51648.18,6.47,99.77,33.9,436.72
"SEP102014","ASU","P1","KA32","09-27-2014",7.83,23.59,28,21.7,51259.27,8.32,120.82,33.69,
"SEP102014","ASU","P2","KA32","09-27-2014",7.9,23.74,28.2,21.8,49913.26,8.81,127.18,32.7,
"SEP102014","ASU","P3","KA32","09-27-2014",7.96,23.67,28,21.8,52353.9,8.19,119.55,34.51,
"SEP102014","ASU","P4","KA32","09-27-2014",7.96,,,,50339.71,7.03,104.04,32.99,
"SEP102014","ASU","P5","KA32","09-27-2014",7.8,23.53,27.9,21.6,51225.99,6.2,89.74,33.67,
"SEP102014","ASU","P6","KA32","09-27-2014",8.18,24.5,28.6,22.1,49146.49,7.04,102.67,32.12,337.85
"SEP102014","ASU","P1","KA32","09-28-2014",7.9,23.43,27.3,21.1,47478.99,8.84,125.88,30.92,
"SEP102014","ASU","P2","KA32","09-28-2014",7.9,23.57,27.6,21.1,45958.93,9.77,138.27,29.81,
"SEP102014","ASU","P3","KA32","09-28-2014",7.96,23.52,27.4,21.1,48218.8,8.8,126.05,31.46,
"SEP102014","ASU","P4","KA32","09-28-2014",7.96,,,,46230.65,7.71,111.65,29.99,
"SEP102014","ASU","P5","KA32","09-28-2014",7.82,23.36,27.2,21,47395.8,6.65,94.3,30.86,
"SEP102014","ASU","P6","KA32","09-28-2014",8.01,23.84,27.5,21.4,45329.36,7.13,101.23,29.36,515.92
"SEP102014","ASU","P1","KA32","09-29-2014",7.81,23.9,31.8,18,49932.92,9.5,139.11,32.68,
"SEP102014","ASU","P2","KA32","09-29-2014",7.88,23.37,29.5,18,49205.5,9.83,141.57,32.17,
"SEP102014","ASU","P3","KA32","09-29-2014",7.94,23.96,31.6,18.1,51129.95,9.66,141.75,33.56,
"SEP102014","ASU","P4","KA32","09-29-2014",7.92,,,,49587.37,7.79,115.27,32.42,
"SEP102014","ASU","P5","KA32","09-29-2014",7.68,23.84,31.7,17.9,49988.97,6.69,97.64,32.72,
"SEP102014","ASU","P6","KA32","09-29-2014",7.96,23.54,29.6,18.2,49030.13,7.22,104.77,32.04,515.86
"SEP102014","ASU","P1","KA32","09-30-2014",7.85,20.98,26.1,16.3,52432.37,9.2,127.89,34.57,
"SEP102014","ASU","P2","KA32","09-30-2014",7.9,21.12,26.3,16.2,51470.49,9.75,134.98,33.86,
"SEP102014","ASU","P3","KA32","09-30-2014",7.94,21.19,26.3,16.3,51822.36,9.23,128.34,34.12,
"SEP102014","ASU","P4","KA32","09-30-2014",7.96,,,,52434.92,7.7,110.14,34.56,
"SEP102014","ASU","P5","KA32","09-30-2014",7.74,20.9,26,16.2,51753.76,6.6,91.09,34.08,
"SEP102014","ASU","P6","KA32","09-30-2014",7.87,21.25,26.4,16.5,51974.41,7.1,99,34.23,511.79
"SEP102014","ASU","P1","KA32","10-01-2014",7.91,20.41,26.1,14.8,52470.89,9.48,130.24,34.6,
"SEP102014","ASU","P2","KA32","10-01-2014",7.9,21.21,27.3,14.8,52493.14,9.6,134.39,34.61,
"SEP102014","ASU","P3","KA32","10-01-2014",7.95,20.53,26.3,14.9,51269.45,9.47,129.83,33.71,
"SEP102014","ASU","P4","KA32","10-01-2014",7.93,,,,52642.97,7.49,108.47,34.69,
"SEP102014","ASU","P5","KA32","10-01-2014",7.78,20.24,26,14.7,51487.14,6.79,92.36,33.87,
"SEP102014","ASU","P6","KA32","10-01-2014",7.96,21.36,27.4,15.1,52495.77,7.09,99.78,34.6,508.22
"SEP102014","ASU","P1","KA32","10-02-2014",7.9,20.95,26,16.2,52343.38,9.32,129.34,34.51,
"SEP102014","ASU","P2","KA32","10-02-2014",7.88,21.16,26.2,16.2,53285.41,9.43,131.72,35.21,
"SEP102014","ASU","P3","KA32","10-02-2014",7.95,21.12,26.3,16.3,52000.17,9.41,130.97,34.25,
"SEP102014","ASU","P4","KA32","10-02-2014",7.93,,,,52561.92,7.39,106.45,34.65,
"SEP102014","ASU","P5","KA32","10-02-2014",7.78,20.94,26.2,16.1,52042.6,6.8,94.07,34.28,
"SEP102014","ASU","P6","KA32","10-02-2014",7.99,21.41,26.5,16.4,52604.94,6.98,97.86,34.7,505.22
"SEP102014","ASU","P1","KA32","10-03-2014",7.9,20.71,26.4,14.9,52463.49,9.33,128.68,34.59,
"SEP102014","ASU","P2","KA32","10-03-2014",7.86,22.32,28.3,14.9,52630.52,9.38,134.26,34.69,
"SEP102014","ASU","P3","KA32","10-03-2014",7.95,20.93,26.7,15,52214.71,9.42,130.31,34.4,
"SEP102014","ASU","P4","KA32","10-03-2014",7.92,,,,52032.42,7.36,109.23,34.22,
"SEP102014","ASU","P5","KA32","10-03-2014",7.75,20.68,26.4,14.8,52633.46,6.83,94.03,34.72,
"SEP102014","ASU","P6","KA32","10-03-2014",9.39,22.45,28.4,15.2,52332.29,6.99,100.35,34.47,502.49
"SEP102014","ASU","P1","KA32","10-04-2014",7.94,21.47,27.4,15.9,53708.77,9.18,129.32,35.51,
"SEP102014","ASU","P2","KA32","10-04-2014",7.88,21.77,27.7,16.2,53649.18,9.3,131.4,35.46,
"SEP102014","ASU","P3","KA32","10-04-2014",7.96,21.7,27.7,16.1,53388.82,9.24,130.56,35.27,
"SEP102014","ASU","P4","KA32","10-04-2014",7.91,,,,53131.92,7.33,107.41,35.04,
"SEP102014","ASU","P5","KA32","10-04-2014",7.75,21.53,27.6,15.9,54033.85,6.78,95.64,35.74,
"SEP102014","ASU","P6","KA32","10-04-2014",11.13,21.98,28,16.4,53700.35,7.1,100.82,35.5,497.75
"SEP102014","ASU","P1","KA32","10-05-2014",7.9,21.22,27,15.3,52480.12,8.76,122.03,34.6,
"SEP102014","ASU","P2","KA32","10-05-2014",7.9,21.44,27.4,15.3,52716.71,9.36,130.93,34.77,
"SEP102014","ASU","P3","KA32","10-05-2014",7.96,21.53,27.3,15.4,51145.66,8.83,122.96,33.61,
"SEP102014","ASU","P4","KA32","10-05-2014",7.91,,,,51709.47,7.28,105.93,34,
"SEP102014","ASU","P5","KA32","10-05-2014",7.73,21.3,27.1,15.2,51968.44,6.52,90.66,34.23,
"SEP102014","ASU","P6","KA32","10-05-2014",12.76,21.8,27.6,15.6,51720.58,7.06,99.11,34.03,494.03
"SEP102014","ASU","P1","KA32","10-06-2014",7.87,22.09,27.9,15.4,50904.4,9.24,130.44,33.42,
"SEP102014","ASU","P2","KA32","10-06-2014",7.83,21.44,26.4,15.4,52596.83,9.24,129.58,34.69,
"SEP102014","ASU","P3","KA32","10-06-2014",7.92,22.39,28.2,15.6,51546.74,9.36,133.5,33.89,
"SEP102014","ASU","P4","KA32","10-06-2014",7.93,,,,52051.88,7.14,104.25,34.25,
"SEP102014","ASU","P5","KA32","10-06-2014",7.56,22.2,28.3,15.4,52259.28,6.92,98.44,34.41,
"SEP102014","ASU","P6","KA32","10-06-2014",10.72,21.71,26.5,15.8,51740.83,7.02,98.77,34.05,386.81
"SEP102014","ASU","P1","KA32","10-07-2014",7.88,20.2,23.5,16.6,50467.04,8.96,120.9,33.14,
"SEP102014","ASU","P2","KA32","10-07-2014",7.88,20.22,23.7,16.5,52801.18,8.99,122.54,34.85,
"SEP102014","ASU","P3","KA32","10-07-2014",7.95,20.31,23.7,16.7,52568.92,8.91,121.54,34.69,
"SEP102014","ASU","P4","KA32","10-07-2014",7.91,,,,51887.57,7.01,99.31,34.16,
"SEP102014","ASU","P5","KA32","10-07-2014",7.72,19.96,23.3,16.3,52839.96,6.63,89.93,34.89,
"SEP102014","ASU","P6","KA32","10-07-2014",10.5,20.34,23.7,16.8,53101.07,6.95,95.06,35.08,267.35
"SEP102014","ASU","P1","KA32","10-08-2014",7.94,20.43,21.4,19.6,49560.49,7.78,104.53,32.48,
"SEP102014","ASU","P2","KA32","10-08-2014",7.89,20.58,21.6,19.8,51620.26,7.9,107.38,34,
"SEP102014","ASU","P3","KA32","10-08-2014",7.94,20.52,21.5,19.7,51062.14,7.83,106.1,33.59,
"SEP102014","ASU","P4","KA32","10-08-2014",7.9,,,,51178.01,6.15,86.98,33.65,
"SEP102014","ASU","P5","KA32","10-08-2014",7.78,20.29,21.3,19.5,51413.79,5.88,79.41,33.85,
"SEP102014","ASU","P6","KA32","10-08-2014",10.52,20.79,21.8,20,51610.18,6.02,82.16,33.98,116.31
"SEP102014","ASU","P1","KA32","10-09-2014",7.95,21.71,25.2,19.7,48947.03,7.94,109.69,32.02,
"SEP102014","ASU","P2","KA32","10-09-2014",7.88,21.77,25.3,19.8,51055.99,8.4,117.08,33.56,
"SEP102014","ASU","P3","KA32","10-09-2014",7.96,21.77,25.3,19.8,50172.71,8.73,121.53,32.92,
"SEP102014","ASU","P4","KA32","10-09-2014",7.94,,,,50920.39,6.8,98.56,33.42,
"SEP102014","ASU","P5","KA32","10-09-2014",7.84,21.6,25.1,19.6,50627.63,6.46,89.62,33.24,
"SEP102014","ASU","P6","KA32","10-09-2014",10.83,21.83,25.3,19.8,50583.32,6.81,94.98,33.21,320.39
"SEP102014","ASU","P1","KA32","10-10-2014",7.82,22.41,27.6,17.8,49705.33,7.1,99.26,32.54,
"SEP102014","ASU","P2","KA32","10-10-2014",7.82,23.41,29,17.8,51570.63,8.03,116.19,33.9,
"SEP102014","ASU","P3","KA32","10-10-2014",7.96,22.44,27.8,17.8,51022.38,8.77,124.14,33.52,
"SEP102014","ASU","P4","KA32","10-10-2014",7.95,,,,52025.16,6.71,101.6,34.19,
"SEP102014","ASU","P5","KA32","10-10-2014",7.77,22.36,27.7,17.7,51377.74,6.54,92.34,33.78,
"SEP102014","ASU","P6","KA32","10-10-2014",11.74,23.47,29.2,17.9,51783.32,6.88,100.25,34.06,463.54
"SEP102014","ASU","P1","KA32","10-11-2014",7.83,23.4,28.8,18.9,50620.77,5.13,73.15,33.21,
"SEP102014","ASU","P2","KA32","10-11-2014",7.82,23.46,28.8,18.9,52413.99,7.78,112.58,34.53,
"SEP102014","ASU","P3","KA32","10-11-2014",7.96,23.43,28.8,18.9,51369.36,8.34,120.12,33.76,
"SEP102014","ASU","P4","KA32","10-11-2014",7.93,,,,52095.09,6.46,97.48,34.25,
"SEP102014","ASU","P5","KA32","10-11-2014",7.72,23.27,28.6,18.8,52097.69,6.28,90.52,34.29,
"SEP102014","ASU","P6","KA32","10-11-2014",11.93,23.6,28.9,19.1,52485.53,6.74,98.11,34.58,458.96
"SEP102014","ASU","P1","KA32","10-12-2014",7.92,21.72,26.8,18.3,51881.96,5.89,82.17,34.17,
"SEP102014","ASU","P2","KA32","10-12-2014",7.88,21.76,26.8,18.2,53714.63,8.14,115.34,35.52,
"SEP102014","ASU","P3","KA32","10-12-2014",7.95,21.75,26.8,18.3,53053.24,7.61,107.44,35.03,
"SEP102014","ASU","P4","KA32","10-12-2014",7.96,,,,52612.62,6.8,99.95,34.67,
"SEP102014","ASU","P5","KA32","10-12-2014",7.72,21.5,26.5,18.1,53560.73,6.4,90.18,35.41,
"SEP102014","ASU","P6","KA32","10-12-2014",11.52,21.83,26.8,18.4,53526.34,7.02,99.64,35.39,463.83
"SEP102014","ASU","P1","KA32","10-13-2014",7.86,21.63,39.2,14.7,49908.06,7.4,103.33,32.87,
"SEP102014","ASU","P2","KA32","10-13-2014",7.85,20.29,25.9,14.7,54075.7,7.84,108.24,35.78,
"SEP102014","ASU","P3","KA32","10-13-2014",7.91,21.08,27.5,14.7,52981.54,7.41,103.64,34.96,
"SEP102014","ASU","P4","KA32","10-13-2014",7.94,,,,53385.99,6.79,97.64,35.26,
"SEP102014","ASU","P5","KA32","10-13-2014",9.73,21.89,43.5,14.5,50678.22,4.67,64.39,33.48,
"SEP102014","ASU","P6","KA32","10-13-2014",11.89,21.02,27.5,14.8,53636.5,6.93,97.47,35.44,465.38
"SEP102014","ASU","P1","KA32","10-14-2014",7.86,19.8,25.3,14,52042.84,8.09,109.21,34.28,
"SEP102014","ASU","P2","KA32","10-14-2014",7.88,19.74,25.3,13.9,53047.35,7.43,100.55,35.02,
"SEP102014","ASU","P3","KA32","10-14-2014",7.89,19.86,25.4,14.1,52361.51,7.69,103.93,34.51,
"SEP102014","ASU","P4","KA32","10-14-2014",7.9,,,,53658.92,6.71,94.96,35.47,
"SEP102014","ASU","P5","KA32","10-14-2014",11.98,20.07,37.9,14.3,51996.65,4.64,62.46,34.3,
"SEP102014","ASU","P6","KA32","10-14-2014",11.64,19.98,25.6,14.2,53163.41,6.97,94.95,35.1,461.31
"SEP102014","ASU","P1","KA32","10-15-2014",7.76,20.28,31.5,15.3,50587.3,7.35,99.35,33.28,
"SEP102014","ASU","P2","KA32","10-15-2014",7.56,23.92,44.1,15.3,41984.15,6.35,88.21,27.46,
"SEP102014","ASU","P3","KA32","10-15-2014",7.5,21.61,40.3,15.4,46828.68,6.88,93.36,30.76,
"SEP102014","ASU","P4","KA32","10-15-2014",7.77,,,,48775.32,6.09,87.25,32.26,
"SEP102014","ASU","P5","KA32","10-15-2014",9.93,21.14,40.5,15.2,45952.35,5.47,73.48,30.17,
"SEP102014","ASU","P6","KA32","10-15-2014",9.24,22.37,41.1,15.5,47316.12,6.01,83.19,31.19,355.76
"SEP102014","ASU","P1","KA32","10-16-2014",4.26,23.77,39.2,16.9,27358.53,7.09,92.96,17.97,
"SEP102014","ASU","P2","KA32","10-16-2014",7.85,21.31,26.3,16.9,51099.97,9.81,135.85,33.59,
"SEP102014","ASU","P3","KA32","10-16-2014",7.63,21.33,26.3,16.9,50767.14,7.68,106.24,33.34,
"SEP102014","ASU","P4","KA32","10-16-2014",8.07,,,,56181.98,7.43,105.25,37.37,
"SEP102014","ASU","P5","KA32","10-16-2014",8.11,21.16,26.2,16.8,48579.7,6.2,84.8,31.74,
"SEP102014","ASU","P6","KA32","10-16-2014",7.84,21.55,26.5,17.1,52426.55,6.64,92.81,34.57,443.78
"SEP102014","ASU","P1","KA32","10-17-2014",4.06,22.75,35.9,18.5,21113.07,7.57,96.32,13.88,
"SEP102014","ASU","P2","KA32","10-17-2014",7.91,20.41,25,16,52338.61,9.36,128.34,34.51,
"SEP102014","ASU","P3","KA32","10-17-2014",7.82,19.74,24,16.1,50838.09,8.57,114.94,33.41,
"SEP102014","ASU","P4","KA32","10-17-2014",8,,,,54387.23,7.46,103.11,36.03,
"SEP102014","ASU","P5","KA32","10-17-2014",8.68,19.57,23.7,16,48832.11,6.18,81.81,31.94,
"SEP102014","ASU","P6","KA32","10-17-2014",7.88,20.53,25,16.2,52208.7,6.31,86.55,34.41,333.96
"SEP102014","ASU","P1","KA32","10-18-2014",6.76,20.44,24.8,15.7,50242.96,8.62,116.97,32.96,
"SEP102014","ASU","P2","KA32","10-18-2014",7.91,20.46,24.9,15.6,53711.99,9.83,135.53,35.52,
"SEP102014","ASU","P3","KA32","10-18-2014",7.82,20.58,25,15.7,49556.88,9.02,122.62,32.46,
"SEP102014","ASU","P4","KA32","10-18-2014",8.02,,,,51971.17,7.4,101.19,34.24,
"SEP102014","ASU","P5","KA32","10-18-2014",9.16,20.39,24.8,15.5,48465.11,6.16,82.73,31.67,
"SEP102014","ASU","P6","KA32","10-18-2014",7.85,20.77,25.2,15.9,51398.67,6.32,86.55,33.81,395.56
"SEP102014","ASU","P1","KA32","10-19-2014",6.91,20.56,26.7,16.6,49973.96,8.31,113.18,32.77,
"SEP102014","ASU","P2","KA32","10-19-2014",7.93,20.63,26.9,16.5,53435.99,9.5,131.79,35.32,
"SEP102014","ASU","P3","KA32","10-19-2014",7.8,20.65,26.8,16.7,39897.19,9.79,128.55,25.59,
"SEP102014","ASU","P4","KA32","10-19-2014",8.07,,,,51500.53,7.07,96.88,33.89,
"SEP102014","ASU","P5","KA32","10-19-2014",9.37,20.45,26.6,16.5,47396.68,5.76,77.24,30.88,
